order_id,customer_id,order_date,channel_type,payment_method
1,2,2025-04-15 08:47:01,Offline,Card
2,2,2024-09-17 10:20:02,Online,Card
3,2,2025-04-03 03:33:17,Online,UPI
4,2,2024-09-24 00:41:04,Offline,UPI
5,2,2025-03-06 18:27:48,Online,Card
6,2,2025-03-03 04:54:04,Offline,Card
7,2,2025-02-14 17:53:01,Online,UPI
8,2,2025-06-25 07:07:05,Online,Card
9,4,2025-06-22 20:55:22,Offline,Wallet
10,4,2025-06-20 12:06:06,Online,Card
11,4,2025-08-04 02:38:16,Online,UPI
12,6,2025-04-19 15:18:28,Online,UPI
13,6,2025-06-25 05:13:49,Online,Card
14,6,2025-08-01 15:55:35,Offline,UPI
15,6,2025-07-02 05:57:03,Online,Card
16,6,2025-06-05 17:07:01,Online,UPI
17,6,2025-03-27 11:00:47,Online,Card
18,6,2025-06-19 23:15:58,Online,Wallet
19,7,2025-07-01 19:06:05,Offline,Card
20,7,2025-07-18 18:37:52,Online,Card
21,7,2025-03-17 12:39:23,Online,Wallet
22,7,2025-04-30 13:28:10,Offline,Card
23,7,2025-07-17 00:35:45,Online,Card
24,7,2025-04-11 17:05:15,Online,UPI
25,7,2025-07-02 05:22:18,Online,UPI
26,9,2023-04-07 07:12:08,Offline,COD
27,9,2024-01-16 21:41:08,Offline,Card
28,9,2025-01-19 01:30:26,Offline,Card
29,9,2023-05-22 18:04:38,Online,COD
30,9,2023-10-15 05:44:26,Online,Card
31,9,2024-10-20 04:29:26,Online,Card
32,9,2024-06-17 13:13:36,Online,Card
33,10,2025-08-13 20:35:18,Online,Card
34,10,2024-11-04 10:35:56,Online,Card
35,10,2025-01-10 02:46:13,Offline,Card
36,10,2024-03-29 05:39:01,Online,UPI
37,11,2025-01-02 13:36:56,Online,UPI
38,11,2023-10-25 12:31:19,Online,Card
39,11,2024-05-02 06:45:22,Online,Card
40,11,2024-08-21 17:41:08,Online,Card
41,11,2025-02-02 04:39:45,Online,Card
42,12,2025-07-18 19:13:48,Online,UPI
43,12,2025-06-08 20:31:14,Offline,Card
44,12,2025-06-03 08:56:23,Online,COD
45,12,2025-04-25 09:48:56,Online,Card
46,12,2025-08-08 15:14:35,Online,UPI
47,12,2025-07-30 22:16:58,Online,Card
48,12,2025-06-18 21:24:15,Online,Card
49,12,2025-06-01 04:57:33,Online,UPI
50,13,2025-07-28 02:12:12,Online,COD
51,13,2025-06-30 05:10:48,Online,COD
52,13,2025-07-27 13:40:50,Online,Card
53,13,2025-06-05 20:11:04,Online,Card
54,14,2023-12-02 00:39:11,Online,COD
55,14,2025-06-15 18:13:31,Offline,Card
56,14,2025-04-02 10:23:56,Online,Card
57,14,2023-04-15 20:32:27,Online,Wallet
58,14,2025-07-13 17:53:50,Online,UPI
59,14,2023-11-30 04:33:21,Online,UPI
60,14,2023-04-14 22:42:41,Online,UPI
61,14,2024-12-24 06:35:29,Online,Card
62,14,2025-04-25 19:38:07,Online,Card
63,14,2024-06-13 03:36:48,Online,Card
64,15,2024-08-30 17:46:16,Online,UPI
65,15,2024-09-15 04:39:04,Online,Card
66,15,2024-07-17 07:53:43,Online,Wallet
67,15,2024-12-17 19:26:06,Online,Card
68,15,2025-07-15 01:27:50,Online,COD
69,15,2024-12-23 00:43:33,Online,UPI
70,15,2024-05-06 18:04:52,Online,Card
71,15,2024-10-13 15:11:48,Offline,UPI
72,15,2025-03-02 19:49:17,Online,UPI
73,16,2025-07-15 04:45:31,Offline,Card
74,16,2025-05-01 07:26:57,Offline,Card
75,16,2025-04-11 16:36:39,Offline,Wallet
76,16,2025-06-17 04:58:16,Online,Card
77,16,2025-05-04 17:44:16,Online,UPI
78,16,2025-03-03 05:58:46,Offline,UPI
79,16,2025-06-20 20:18:22,Offline,UPI
80,18,2025-07-13 12:34:56,Online,Card
81,18,2025-02-02 00:51:45,Online,Card
82,18,2025-05-19 20:09:04,Online,Card
83,19,2024-12-30 23:21:24,Online,Wallet
84,19,2025-02-27 20:42:56,Online,Card
85,19,2023-08-30 04:16:09,Offline,Card
86,19,2024-05-19 22:50:06,Online,Card
87,19,2024-02-07 18:23:45,Online,UPI
88,20,2024-12-04 19:24:15,Online,Card
89,20,2025-07-17 04:50:46,Online,Card
90,20,2025-06-22 10:55:33,Offline,Card
91,20,2024-12-29 23:21:12,Online,Wallet
92,20,2024-09-14 04:37:17,Online,Wallet
93,20,2024-10-29 00:52:04,Online,UPI
94,20,2024-09-27 14:25:58,Online,UPI
95,21,2025-07-21 02:56:03,Online,Wallet
96,21,2025-07-04 23:09:28,Offline,Card
97,21,2025-05-04 16:48:53,Online,Card
98,21,2025-03-21 08:59:51,Offline,UPI
99,21,2025-08-06 17:29:23,Offline,Card
100,21,2025-02-22 09:35:45,Offline,COD
101,23,2024-02-29 21:19:24,Online,Card
102,23,2025-06-14 18:42:42,Offline,Card
103,23,2024-03-06 19:50:34,Online,UPI
104,23,2024-10-10 11:32:29,Online,Wallet
105,23,2024-04-03 02:20:21,Offline,Card
106,23,2024-02-15 15:23:33,Online,Card
107,23,2024-03-29 21:46:38,Online,Card
108,23,2025-05-20 22:54:56,Online,Card
109,23,2025-07-08 08:20:51,Online,Wallet
110,25,2025-06-13 05:24:43,Online,Card
111,25,2024-12-28 07:32:56,Online,Card
112,25,2025-04-17 20:53:15,Online,UPI
113,25,2025-02-25 11:56:21,Online,Card
114,25,2025-01-24 13:03:26,Offline,Card
115,25,2025-05-19 01:47:09,Online,Card
116,26,2024-08-18 20:10:01,Online,Card
117,26,2023-12-17 05:15:50,Online,UPI
118,26,2024-02-05 04:52:22,Online,Card
119,26,2024-08-02 12:17:19,Offline,UPI
120,26,2025-03-27 04:28:43,Online,Card
121,26,2024-01-04 18:43:28,Offline,Wallet
122,26,2024-04-19 12:39:59,Online,Card
123,26,2024-12-15 05:51:45,Online,Card
124,26,2025-05-15 13:46:14,Online,COD
125,26,2025-02-18 01:37:40,Online,Card
126,28,2024-06-29 23:00:43,Online,Card
127,28,2025-03-23 17:33:34,Offline,Card
128,28,2024-06-19 09:43:01,Online,Card
129,28,2024-03-15 11:45:58,Offline,Card
130,28,2025-06-21 06:10:10,Online,COD
131,28,2025-03-29 23:01:30,Online,Card
132,28,2024-04-06 06:42:18,Online,UPI
133,29,2025-07-09 09:01:44,Online,UPI
134,29,2025-01-28 04:24:43,Online,UPI
135,29,2025-08-09 16:07:56,Online,Card
136,29,2024-05-28 20:46:55,Online,Card
137,29,2024-09-06 09:04:49,Online,UPI
138,29,2025-02-09 07:20:30,Online,Card
139,29,2025-03-28 03:18:21,Online,Card
140,30,2024-08-12 14:02:17,Online,UPI
141,30,2025-03-09 23:12:24,Online,Wallet
142,30,2025-01-02 18:22:15,Offline,UPI
143,30,2024-06-21 18:53:05,Online,Card
144,30,2024-12-04 12:35:47,Online,Wallet
145,31,2025-06-02 18:33:59,Online,UPI
146,31,2024-11-15 17:33:19,Online,COD
147,31,2024-11-29 18:46:21,Online,Card
148,31,2025-07-14 04:23:12,Online,COD
149,31,2025-08-10 21:48:13,Online,UPI
150,31,2025-02-22 06:43:47,Online,UPI
151,31,2024-12-23 09:06:26,Online,UPI
152,31,2024-11-08 13:40:55,Offline,Card
153,32,2024-12-31 10:37:26,Online,COD
154,32,2024-07-08 21:45:55,Online,UPI
155,32,2025-06-19 08:47:27,Online,Card
156,32,2025-01-01 03:27:22,Online,COD
157,32,2025-02-04 11:40:26,Online,COD
158,32,2025-02-14 03:27:53,Offline,Card
159,32,2024-08-23 23:57:31,Online,Card
160,32,2025-01-03 02:36:36,Offline,UPI
161,32,2025-07-22 19:07:24,Online,UPI
162,32,2024-06-21 01:47:43,Online,COD
163,33,2025-07-02 11:31:35,Online,COD
164,33,2024-08-07 08:54:07,Offline,Card
165,33,2024-07-21 02:26:12,Offline,UPI
166,33,2024-07-07 06:36:43,Online,COD
167,33,2025-02-09 01:48:10,Online,Card
168,34,2025-08-14 08:32:07,Online,Card
169,34,2025-08-10 19:48:14,Online,UPI
170,34,2025-08-13 23:34:14,Online,COD
171,34,2025-08-11 15:41:49,Online,Card
172,34,2025-08-12 23:08:40,Online,UPI
173,34,2025-08-11 15:03:56,Online,Card
174,34,2025-08-11 10:07:20,Online,UPI
175,34,2025-08-12 12:46:44,Online,Card
176,34,2025-08-14 18:15:59,Online,UPI
177,34,2025-08-12 00:27:14,Online,UPI
178,35,2025-08-12 12:45:09,Offline,Wallet
179,35,2025-07-08 04:39:49,Online,Card
180,35,2025-06-23 15:30:23,Online,UPI
181,35,2025-03-07 08:29:28,Online,Card
182,35,2025-05-25 14:11:56,Online,Card
183,35,2025-04-25 10:36:32,Online,Card
184,36,2025-02-08 19:07:40,Online,Card
185,36,2025-03-28 09:06:04,Online,UPI
186,36,2025-07-17 20:24:03,Online,UPI
187,36,2025-05-21 10:53:56,Online,Card
188,36,2025-03-14 15:19:39,Online,UPI
189,36,2025-02-12 15:06:13,Online,Card
190,36,2025-05-27 11:00:27,Online,Card
191,37,2025-05-07 01:20:35,Online,Card
